#ip-address apv-chip-id apv-pad-id module-id pin-id pad-id
192.168.35.72 22 8 109 8 319
192.168.35.72 23 8 109 8 314
192.168.35.18 12 40 101 40 248
192.168.35.18 13 40 101 40 243
192.168.35.18 14 40 101 40 258
192.168.35.18 15 40 101 40 253
192.168.35.18 16 40 101 40 626
192.168.35.18 17 40 101 40 743
192.168.35.18 18 40 101 40 636
192.168.35.18 19 40 101 40 753
192.168.35.18 20 40 101 40 1166
192.168.35.18 21 40 101 40 1161
192.168.35.18 22 40 101 40 1176
192.168.35.18 23 40 101 40 1171
192.168.35.18 0 40 102 40 248
192.168.35.18 1 40 102 40 243
192.168.35.18 2 40 102 40 258
192.168.35.18 3 40 102 40 253
192.168.35.18 4 40 102 40 626
192.168.35.18 5 40 102 40 743
192.168.35.18 6 40 102 40 636
192.168.35.18 7 40 102 40 753
192.168.35.18 8 40 102 40 1166
192.168.35.18 9 40 102 40 1161
192.168.35.18 10 40 102 40 1176
192.168.35.18 11 40 102 40 1171
192.168.35.17 12 40 103 40 1171
192.168.35.17 13 40 103 40 1176
192.168.35.17 14 40 103 40 1161
192.168.35.17 15 40 103 40 1166
192.168.35.17 16 40 103 40 753
192.168.35.17 17 40 103 40 636
192.168.35.17 18 40 103 40 743
192.168.35.17 19 40 103 40 626
192.168.35.17 20 40 103 40 253
192.168.35.17 21 40 103 40 258
192.168.35.17 22 40 103 40 243
192.168.35.17 23 40 103 40 248
192.168.35.17 0 40 104 40 248
192.168.35.17 1 40 104 40 243
192.168.35.17 2 40 104 40 258
192.168.35.17 3 40 104 40 253
192.168.35.17 4 40 104 40 626
192.168.35.17 5 40 104 40 743
192.168.35.17 6 40 104 40 636
192.168.35.17 7 40 104 40 753
192.168.35.17 8 40 104 40 1166
192.168.35.17 9 40 104 40 1161
192.168.35.17 10 40 104 40 1176
192.168.35.17 11 40 104 40 1171
192.168.35.71 0 40 106 40 1166
192.168.35.71 1 40 106 40 1161
192.168.35.71 2 40 106 40 1176
192.168.35.71 3 40 106 40 1171
192.168.35.71 4 40 106 40 743
192.168.35.71 5 40 106 40 626
192.168.35.71 6 40 106 40 753
192.168.35.71 7 40 106 40 636
192.168.35.71 8 40 106 40 248
192.168.35.71 9 40 106 40 243
192.168.35.71 10 40 106 40 258
192.168.35.71 11 40 106 40 253
192.168.35.71 12 40 107 40 1166
192.168.35.71 13 40 107 40 1161
192.168.35.71 14 40 107 40 1176
192.168.35.71 15 40 107 40 1171
192.168.35.71 16 40 107 40 743
192.168.35.71 17 40 107 40 626
192.168.35.71 18 40 107 40 753
192.168.35.71 19 40 107 40 636
192.168.35.71 20 40 107 40 248
192.168.35.71 21 40 107 40 243
192.168.35.71 22 40 107 40 258
192.168.35.71 23 40 107 40 253
192.168.35.72 0 40 108 40 1166
192.168.35.72 1 40 108 40 1161
192.168.35.72 2 40 108 40 1176
192.168.35.72 3 40 108 40 1171
192.168.35.72 4 40 108 40 743
192.168.35.72 5 40 108 40 626
192.168.35.72 6 40 108 40 753
192.168.35.72 7 40 108 40 636
192.168.35.72 8 40 108 40 248
192.168.35.72 9 40 108 40 243
192.168.35.72 10 40 108 40 258
192.168.35.72 11 40 108 40 253
192.168.35.72 20 40 109 40 1166
192.168.35.72 21 40 109 40 1161
192.168.35.72 14 40 109 40 1176
192.168.35.72 15 40 109 40 1171
192.168.35.72 16 40 109 40 743
192.168.35.72 17 40 109 40 626
192.168.35.72 18 40 109 40 753
192.168.35.72 19 40 109 40 636
192.168.35.72 12 40 109 40 248
192.168.35.72 13 40 109 40 243
192.168.35.72 22 40 109 40 258
192.168.35.72 23 40 109 40 253
192.168.35.18 12 72 101 72 407
192.168.35.18 13 72 101 72 402
192.168.35.18 14 72 101 72 417
192.168.35.18 15 72 101 72 412
192.168.35.18 16 72 101 72 684
192.168.35.18 17 72 101 72 725
192.168.35.18 18 72 101 72 694
192.168.35.18 19 72 101 72 735
192.168.35.18 20 72 101 72 1007
192.168.35.18 21 72 101 72 1002
192.168.35.18 22 72 101 72 1017
192.168.35.18 23 72 101 72 1012
192.168.35.18 0 72 102 72 407
192.168.35.18 1 72 102 72 402
192.168.35.18 2 72 102 72 417
192.168.35.18 3 72 102 72 412
192.168.35.18 4 72 102 72 684
192.168.35.18 5 72 102 72 725
192.168.35.18 6 72 102 72 694
192.168.35.18 7 72 102 72 735
192.168.35.18 8 72 102 72 1007
192.168.35.18 9 72 102 72 1002
192.168.35.18 10 72 102 72 1017
192.168.35.18 11 72 102 72 1012
192.168.35.17 12 72 103 72 1012
192.168.35.17 13 72 103 72 1017
192.168.35.17 14 72 103 72 1002
192.168.35.17 15 72 103 72 1007
192.168.35.17 16 72 103 72 735
192.168.35.17 17 72 103 72 694
192.168.35.17 18 72 103 72 725
192.168.35.17 19 72 103 72 684
192.168.35.17 20 72 103 72 412
192.168.35.17 21 72 103 72 417
192.168.35.17 22 72 103 72 402
192.168.35.17 23 72 103 72 407
192.168.35.17 0 72 104 72 407
192.168.35.17 1 72 104 72 402
192.168.35.17 2 72 104 72 417
192.168.35.17 3 72 104 72 412
192.168.35.17 4 72 104 72 684
192.168.35.17 5 72 104 72 725
192.168.35.17 6 72 104 72 694
192.168.35.17 7 72 104 72 735
192.168.35.17 8 72 104 72 1007
192.168.35.17 9 72 104 72 1002
192.168.35.17 10 72 104 72 1017
192.168.35.17 11 72 104 72 1012
192.168.35.71 0 72 106 72 1007
192.168.35.71 1 72 106 72 1002
192.168.35.71 2 72 106 72 1017
192.168.35.71 3 72 106 72 1012
192.168.35.71 4 72 106 72 725
192.168.35.71 5 72 106 72 684
192.168.35.71 6 72 106 72 735
192.168.35.71 7 72 106 72 694
192.168.35.71 8 72 106 72 407
192.168.35.71 9 72 106 72 402
192.168.35.71 10 72 106 72 417
192.168.35.71 11 72 106 72 412
