# A : Adujst (misalign paramter)
# D : Design values
# Key                                     x [mm]       y [mm]       z [mm]   rotx [deg]   roty [deg]   rotz [deg]  cent_x [mm]  cent_y [mm]  cent_z [mm]
A:E16:GTR:Frame06:Layer00:Chamber18            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer00:Chamber19            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer00:Chamber20            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer01:Chamber18            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer01:Chamber19            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer01:Chamber20            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer02:Chamber18            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer02:Chamber19            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame06:Layer02:Chamber20            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame07:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer00:Chamber21            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer00:Chamber22            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer00:Chamber23            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer01:Chamber21            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer01:Chamber22            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer01:Chamber23            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer02:Chamber21            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer02:Chamber22            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame07:Layer02:Chamber23            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08                              0            0            0            0            0            0            0      -460.29       461.71
A:E16:GTR:Frame08:Layer00                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer00:Chamber24            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer00:Chamber25            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer00:Chamber26            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer01                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer01:Chamber24            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer01:Chamber25            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer01:Chamber26            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer02                      0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer02:Chamber24            0            0            0            0            0            0            0            0            0
A:E16:GTR:Frame08:Layer02:Chamber25            0            0            0            0            0            0            0            0            0
