#GTR 10cm center-y
0.

#GTR frame Local rotation y
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.

#GTR frame Local rotation z
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.
0.

