#ip-address apv-chip-id apv-multiplexer-out module-id pin-id pad-id
192.168.35.19 10 4 107 8 810
192.168.35.19 11 4 107 8 619
192.168.35.19 12 4 107 8 309
192.168.35.19 13 4 107 8 304
192.168.35.19 14 4 107 8 319
192.168.35.19 15 4 107 8 314
192.168.35.19 16 4 -1 8 -1
192.168.35.19 17 4 -1 8 -1
192.168.35.19 18 4 -1 8 -1
192.168.35.19 19 4 -1 8 -1
192.168.35.19 20 4 -1 8 -1
192.168.35.19 21 4 -1 8 -1
192.168.35.19 22 4 -1 8 -1
192.168.35.19 23 4 -1 8 -1
192.168.35.17 0 5 104 40 248
192.168.35.17 1 5 104 40 243
192.168.35.17 2 5 104 40 258
192.168.35.17 3 5 104 40 253
192.168.35.17 4 5 104 40 626
192.168.35.17 5 5 104 40 743
192.168.35.17 6 5 104 40 636
192.168.35.17 7 5 104 40 753
192.168.35.17 8 5 104 40 1166
192.168.35.17 9 5 104 40 1161
192.168.35.17 10 5 104 40 1176
192.168.35.17 11 5 104 40 1171
192.168.35.17 12 5 103 40 1171
192.168.35.17 13 5 103 40 1176
192.168.35.17 14 5 103 40 1161
192.168.35.17 15 5 103 40 1166
192.168.35.17 16 5 -1 40 -1
192.168.35.17 17 5 -1 40 -1
192.168.35.17 18 5 -1 40 -1
192.168.35.17 19 5 -1 40 -1
192.168.35.17 20 5 -1 40 -1
192.168.35.17 21 5 -1 40 -1
192.168.35.17 22 5 -1 40 -1
192.168.35.17 23 5 -1 40 -1
192.168.35.18 0 5 103 40 753
192.168.35.18 1 5 103 40 636
192.168.35.18 2 5 103 40 743
192.168.35.18 3 5 103 40 626
192.168.35.18 4 5 103 40 253
192.168.35.18 5 5 103 40 258
192.168.35.18 6 5 103 40 243
192.168.35.18 7 5 103 40 248
192.168.35.18 8 5 106 40 1166
192.168.35.18 9 5 106 40 1161
192.168.35.18 10 5 106 40 1176
192.168.35.18 11 5 106 40 1171
192.168.35.18 12 5 106 40 743
192.168.35.18 13 5 106 40 626
192.168.35.18 14 5 106 40 753
192.168.35.18 15 5 106 40 636
192.168.35.18 16 5 -1 40 -1
192.168.35.18 17 5 -1 40 -1
192.168.35.18 18 5 -1 40 -1
192.168.35.18 19 5 -1 40 -1
192.168.35.18 20 5 -1 40 -1
192.168.35.18 21 5 -1 40 -1
192.168.35.18 22 5 -1 40 -1
192.168.35.18 23 5 -1 40 -1
192.168.35.19 0 5 106 40 248
192.168.35.19 1 5 106 40 243
192.168.35.19 2 5 106 40 258
192.168.35.19 3 5 106 40 253
192.168.35.19 4 5 107 40 1166
192.168.35.19 5 5 107 40 1161
192.168.35.19 6 5 107 40 1176
192.168.35.19 7 5 107 40 1171
192.168.35.19 8 5 107 40 743
192.168.35.19 9 5 107 40 626
192.168.35.19 10 5 107 40 753
192.168.35.19 11 5 107 40 636
192.168.35.19 12 5 107 40 248
192.168.35.19 13 5 107 40 243
192.168.35.19 14 5 107 40 258
192.168.35.19 15 5 107 40 253
192.168.35.19 16 5 -1 40 -1
192.168.35.19 17 5 -1 40 -1
192.168.35.19 18 5 -1 40 -1
192.168.35.19 19 5 -1 40 -1
192.168.35.19 20 5 -1 40 -1
192.168.35.19 21 5 -1 40 -1
192.168.35.19 22 5 -1 40 -1
192.168.35.19 23 5 -1 40 -1
192.168.35.17 0 6 104 72 407
192.168.35.17 1 6 104 72 402
192.168.35.17 2 6 104 72 417
192.168.35.17 3 6 104 72 412
192.168.35.17 4 6 104 72 684
192.168.35.17 5 6 104 72 725
192.168.35.17 6 6 104 72 694
192.168.35.17 7 6 104 72 735
192.168.35.17 8 6 104 72 1007
192.168.35.17 9 6 104 72 1002
192.168.35.17 10 6 104 72 1017
192.168.35.17 11 6 104 72 1012
192.168.35.17 12 6 103 72 1012
192.168.35.17 13 6 103 72 1017
192.168.35.17 14 6 103 72 1002
192.168.35.17 15 6 103 72 1007
192.168.35.17 16 6 -1 72 -1
192.168.35.17 17 6 -1 72 -1
192.168.35.17 18 6 -1 72 -1
192.168.35.17 19 6 -1 72 -1
192.168.35.17 20 6 -1 72 -1
